Query,Category
Election news from Honduras,PLACE
What type of food should I make for Christmas,NONE
 farmer markets taking place,EVENT
"Directions from CC to Aquatots, avoiding Grand River.",ROUTE
what is the longest river that runs through a state that borders tennessee,PLACE
what states are next to arizona,AREA
what time is the nest train to Memphis,PLACE
"if you won a million dollars, what would you do",NONE
 steakhouse York one,NONE
what states border states that border colorado,AREA
Give me directions to the Imperial Theater in NYC leaving at 4pm,ROUTE
any live music near me tonight,EVENT
Is the december 15 concert at 8 sold in columbus sold out,NONE
"1402  Argonne Street, New Castle, Delaware",ADDRESS
"Directions to Flyers Skate Zone in Atlantic City from Somers Point, NJ.",ROUTE
Whitney Museum of American Art,PLACE
concert for event,EVENT
what are the highest points of all the states,AREA
Which hotel is the most beautiful in Big Island,PLACE
"-122.7990766,45.4615745",GEOLOCATION
 houses week,EVENT
family friendly casinos in Las Vegas,PLACE
"-122.8118643,45.4696108",GEOLOCATION
"Directions to the Beaumont library, please.",ROUTE
Can my girlfriend come to the mall with me tonight?,PLACE
 friends University upload statuses catching flu,NONE
 54 Road London 0AU,ADDRESS
"51.1702, 4.21317",GEOLOCATION
Best route to beat the traffic,ROUTE
any fun activity for toddlar,EVENT
what rivers are in texas,PLACE
route downtown,ROUTE
Office buildings,AREA
University of London,PLACE
 I directions house 1814 Franklin Pike Lewisburg Tn,ROUTE
best place to nit,PLACE
what states border hawaii,AREA
how many people live in new hampshire,NONE
Air shows next year near me,EVENT
"-122.8407108,45.5272049",GEOLOCATION
lovely and cozy restaurant in Hawaii,PLACE
Air soft events in my state,EVENT
which shop is quiet on Saturday,PLACE
what is the state with the lowest population density,AREA
"Can you tell me how to get to the new Home Goods near Marshalls in Hingham, Mass?",ROUTE
Disneyland Christmas Parade times and dates,EVENT
Where is the nearest Taxi stand ,PLACE
Directions to Publix.,ROUTE
Brooklyn Bridge,PLACE
"62.028103,129.732663",GEOLOCATION
things to do in Anaheim,EVENT
National Collegiate Athletic Association,PLACE
what's the fastest route home,ROUTE
Bob Hope Airport Train Station,PLACE
Where is a good museum to go to in New York Christmas weekend,PLACE
facebook my events list to my family,NONE
Any events at the college next week,EVENT
any art shows to attend in LA this weekend,EVENT
"200 Dutch Meadows Ln, Glenville NY 12302",ADDRESS
"3100 Hough Rd, Florence AL 35630",ADDRESS
"Casual,  family restaurants close by open now",PLACE
Any paint and wine nights happening next month in Seattle,EVENT
What do my friends think about the college in Sheboygan?,NONE
directions from mcallen to pensacola,ROUTE
what is the biggest city in texas,AREA
what is the largest city in minnesota by population,AREA
Which of my friends have been to Disney World?,NONE
can i have a hug,NONE
Any beer and meat events near me this weekend,EVENT
Who in my cruise group has responded that they want to go so far.,PLACE
Where is the most favorable restaurant that my friends and relatives frequently like to dine at?,PLACE
"Frontiers of Flight Museum, Dallas",PLACE
Where's a good place to eat this weekend,PLACE
Price of gas locally,NONE
"Where is the sign that reads """"We Love Tacos"""" in San Antonio",PLACE
what is the smallest state that borders texas,AREA
"844 No Colony Road, Wallingford CT 6492",ADDRESS
 city traffic,NONE
"1470 S Washington St, North Attleboro MA 2760",ADDRESS
how many people live in south dakota,NONE
Any caroling events in New Brunswick tonight,EVENT
 event summer,NONE
what are the major cities in wyoming,AREA
Is there a trendy bar near me,PLACE
best route home,ROUTE
Can you get me directions to my mom's house from Woodfield Mall?,ROUTE
When is Pastor Curren's birthday party at the church this May?,NONE
"-122.8333364,45.4649265",GEOLOCATION
"262 Swansea Mall Dr, Swansea MA 2777",ADDRESS
"4823  Blackwell Street, Dry Creek",ADDRESS
what is the smallest city in alaska,AREA
neighborhood for offices,AREA
what states border delaware,AREA
how far away is the yoga studio,NONE
nearest vegan caterer available as soon as possible,PLACE
service center,PLACE
Where is the Rite Aid in Canton Ga,PLACE
Museum of Modern Art,PLACE
"626 Olive Street Sw, Cullman AL 35055",ADDRESS
 detour Tunnel,ROUTE
where is the nra headquarters located?  ,PLACE
What time does my supervisor's husband leave for work every day?,PLACE
Where can we find Christmas tree decorations to make ourselves,PLACE
"100 Elm Ridge Center Dr, Greece NY 14626",ADDRESS
Any new auditions posted in the actors group?,NONE
Do I know anyone who is planning on attending Elton John's final world tour?,NONE
 tasting weekend ohio,EVENT
Any route without heavy traffic alert from  Joseph's house to the airport,ROUTE
close,NONE
Mesa Arts Center,PLACE
Suggestions for a good Tappas place that's not too far,PLACE
people,NONE
where is san jose,AREA
Can you tell me how to get to the baseball game at 4pm?,ROUTE
 events going,EVENT
any fun christmas parties tonight,EVENT
Get directions to downtown Houma without passing construction,ROUTE
"-122.8356199,45.4474246",GEOLOCATION
Any drinking events happening in Seattle,EVENT
"-122.7989513,45.4889965",GEOLOCATION
Things to do downtown tomorrow,EVENT
Can I get home from the REM show via Rt. 78?,ROUTE
restaurants near chicago mercantile,PLACE
what is the largest city in states that border california,AREA
what is the biggest city in georgia,AREA
what are the top places to eat in dallas texas,PLACE
any interesting events in DC tonight,EVENT
what is the highest point in the us,AREA
Routes,ROUTE
Can you tell me how to get to the baseball game at 4pm?,ROUTE
"52.3702, 4.89517",GEOLOCATION
high school,PLACE
"37.483804, 127.032693",GEOLOCATION
Brooklyn Botanic Garden,PLACE
painting event place,EVENT
New stores in town,PLACE
fastest way to highway from here,ROUTE
A summer house rental office in Hawaii,PLACE
bicycle route,ROUTE
Where is the closet Kroger to me located,PLACE
 Route Kidd using Florida,ROUTE
"17 Boulevard Poissonnière, 2nd arr., 75002 Paris, France",ADDRESS
Activities that are happening near me this month,EVENT
where is indianapolis,AREA
What is the simplest way to get from Las Vegas to San Diego without going through Los Angeles?,ROUTE
how far away is moon to earth,NONE
Best club in Boston,PLACE
"41 Anawana Lake Road, Monticello NY 12701",ADDRESS
 child places,NONE
Opera bar in Sydney,PLACE
 route distance Rd,ROUTE
 event happening weekend,EVENT
Which steakhouse in New York is the best one,PLACE
what is the largest city in texas,AREA
Are we throwing a birthday party for Jean next month?,NONE
How to go from hotel to Alamoana shopping center,ROUTE
Jimmy Carter Library and Museum,PLACE
what is firework for,PLACE
"""41.588,-87.40287""",GEOLOCATION
"-122.8013566,45.4835539",GEOLOCATION
kids events,EVENT
Can you give me directions from Philadelphia to DC avoiding tolls?,ROUTE
List excursions from Denver next week,EVENT
Bar deals near me today,PLACE
Is my cousin's step-dad still in town for the bar mitzvah this evening,NONE
do you like kids,PLACE
 Directions airport,ROUTE
What is the best route to work this morning to avoid traffic,ROUTE
What are things to do in Miami with family on New Year's eve,EVENT
dance clubs near me,PLACE
Malls near El Paso that are closed,PLACE
"-122.8142847,45.4902231",GEOLOCATION
what states are next to texas,AREA
"301 Massachusetts Ave, Lunenburg MA 1462",ADDRESS
Anything cool happening this weekend,EVENT
Adult only events in Atlanta this weekend,EVENT
Any Christmas events happening in New Albany Ohio next week,EVENT
Any local events in Dallas this afternoon,EVENT
how many people live in kalamazoo,NONE
Things to do in Portland tonight,EVENT
"-122.8411446,45.4935364",GEOLOCATION
"Directions to Laurel Manor, from work, avoiding I96.",ROUTE
post office near Central Park,PLACE
how many people live in montana,NONE
what is the highest point in ohio,AREA
what is the capital of the florida state,AREA
"59.220473,39.891559",GEOLOCATION
 9643 Queensway London 3UQ,ADDRESS
 going Adventure scout trip son,NONE
"37.566283, 126.901644",GEOLOCATION
any basketball games this weekend,EVENT
Singapore Changi Airport,PLACE
Was my cousin Carlton featured in the local news piece on that mass shooting?,PLACE
 way auto shop class,ROUTE
 Chris Rock concerts coming,EVENT
"""41.8215,-87.66534""",GEOLOCATION
what is the state with the smallest area,AREA
Can I get tickets for An American in Paris at the Community Center Theater for May,PLACE
And one West eating noise speed Chicago 311 Indy no use,NONE
Which route would be best to avoid traffic,ROUTE
what is the longest river in the smallest state in the usa,PLACE
 winery,NONE
"30 Memorial Drive, Avon MA 2322",ADDRESS
what cities in texas have the highest number of citizens,AREA
what states border states that border states that border states that border texas,AREA
 3308 Ash St Vancouver BC V5Z 3E3,ADDRESS
"501 Willow Lane, Greenville AL 36037",ADDRESS
Any parties happening in Pittsburgh this upcoming weekend,EVENT
"-122.8148218,45.4610697",GEOLOCATION
Where can I have dinner in SOHO friday night,PLACE
what is the shortest river in the united states,PLACE
can you give me driving directions from Sea World in Orlando,ROUTE
Any annual events in San Francisco tonight,EVENT
what is the longest river in new york,PLACE
Adult halloween parties happening near Edison NJ in October,EVENT
Nelson College,PLACE
Changi Point Ferry Terminal,PLACE
Can you help me figure out how to get to Sarahs in Atlantic City by dinner time,ROUTE
party planner available next month,NONE
 53 Walt St. Brooklyn 11238,ADDRESS
what is the largest city in wisconsin,AREA
" Vijzelstraat 4, 1017 HK, Amsterdam, Netherlands ",ADDRESS
Any museums recently visited by my friends?,PLACE
Merchant's House Museum,PLACE
Free events on Christmas eve near me,EVENT
 way theatre movie,NONE
"5399 W Genesse St, Camillus NY 13031",ADDRESS
show me friends that are attending michelle's birthday party,NONE
Discovery Times Square,PLACE
"374 William S Canning Blvd, Fall River MA 2721",ADDRESS
"11 Jungle Road, Leominster MA 1453",ADDRESS
how many people live in the capital of georgia,NONE
 route from home,ROUTE
Which clubs are having live music this weekend,NONE
hours,EVENT
Georgia Aquarium,PLACE
What is on broadway right now,EVENT
best place to meet single guys near me,PLACE
"72 Main St, North Reading MA 1864",ADDRESS
parking place near museum,PLACE
"340 East Meighan Blvd, Gadsden AL 35903",ADDRESS
"5245 Rangeline Service Rd, Mobile AL 36619",ADDRESS
What's the fastest way for me to get to Applebottom street right now?,ROUTE
Who was my last text to,NONE
 9851 Horse Dr. Bronx 10466,ADDRESS
Where are the lyrics to the song that is now playing,NONE
 home route from city center,ROUTE
where is portland,AREA
Where should I make dinner reservations in the city tonight,NONE
Copthorne Orchid Hotel,PLACE
When do the apple orchards close in Lancaster,PLACE
"Greenbag Road - 63 Don Knotts BlvdMorgaown, Chicago",NONE
what's the quickest route,ROUTE
ice skating rinks in new jersey,PLACE
capital of belgium,AREA
WalMarts open after midnight that have a bank near me,PLACE
Staten Island Ferry,PLACE
care clinic,PLACE
all music concerts in LA for next month,EVENT
Central park area in New York,AREA
moon,NONE
 blue round yellow pillow,PLACE
Clubs in Savannah,PLACE
what is the longest river that flows through a state that borders indiana,PLACE
where can I go to see a Picasso exhibit,PLACE
what is the longest river in the states that border nebraska,PLACE
X-mas parties,EVENT
what is the highest point in new mexico,AREA
American Folk Art Museum,PLACE
"""41.82997,-87.66556""",GEOLOCATION
what is the highest point in delaware,AREA
what are the populations of states through which the mississippi river runs,NONE
The most beautiful and quiet beach in Hawaii,PLACE
Cable channels,NONE
what are the rivers in alaska,PLACE
Can you tell me how to get to Chaco Canyon in New Mexico by taking the freeway,ROUTE
"-122.8425611,45.4666239",GEOLOCATION
Can you see each other again?,NONE
Any chef events happening in Portland,EVENT
"1100 New Haven Road, Naugatuck CT 6770",ADDRESS
Which way is the quickest to work?,ROUTE
any concerts,EVENT
Frick Collection,PLACE
acoustic performances in Henderson,EVENT
Anne Kolb Nature Center,PLACE
what is the highest point in wyoming,AREA
Any parks near Fillmore that offer sledding on Saturday,PLACE
Anything happening tonight in Greensboro,EVENT
Mommy-and-me events near Dallas,EVENT
"250 Rt 59, Airmont NY 10901",ADDRESS
https,NONE
can you find me the shortest route home,ROUTE
Directions to the courthouse from my grandmas house,ROUTE
directions from mcallen to san antonio,ROUTE
Can you tell me the driving directions from home to the mall in Douglasville.,ROUTE
Fastest bus to Krogers,ROUTE
When did breastfeeding become a popular feeding source for babies?,PLACE
any roller rinks in town,PLACE
get me to the nearest walmart,ROUTE
closest glow bowling place,PLACE
Judd Foundation,PLACE
 house heat,NONE
Gas stations with showers on I85 open after midnight,PLACE
When does Jake leave?,NONE
what are some of the most popular places to hang out in my town,NONE
name all the lakes of us,PLACE
"51.661537,39.200285",GEOLOCATION
"Have order ready for 4:00 pm, delivered to Capien Hills Apartments in Howard County.",PLACE
 friends going event,NONE
Where is a BBQ restaurant in Portland,PLACE
sporting events in Johnson city this weekend,EVENT
"""41.9466,-87.70731""",GEOLOCATION
what rivers are in oregon,PLACE
"255 W Main St, Avon CT 6001",ADDRESS
Can you give me directions to Walt Disney World avoiding toll roads.,ROUTE
Pet friendly restaurants near me,PLACE
What is the average life expectancy of a cat?,PLACE
what is the highest point in the state with the smallest population,AREA
BEST panorama view of the city,PLACE
 friends following Daryl band,NONE
Any festivals this weekend,EVENT
United Nations Headquarters,PLACE
Any activities for kids to do here,EVENT
 tables for four,PLACE
what is the capital of the largest state,AREA
what is the capital of new york,AREA
 time tomorrow game start,NONE
Who amongst my old friends still plays,NONE
All the music festivals in the United States for summer 2018,EVENT
How does a school bus driver who drives more than one route not get  confused of where to go and drop kids off?,NONE
Sundays are really fun day to wallk in lights,NONE
CNN Center,PLACE
Valentines day restaurant suggestions,PLACE
list the best places to view christmas lights near tuscaloosa this weekend,PLACE
What time does my friend Jeff get off work?,PLACE
Best route to get to work today,ROUTE
any Board and brush places in Florida,PLACE
"50.3702, 4.89917",GEOLOCATION
How long until Carol gets back to me?,NONE
"Trinity College, Cambridge",PLACE
any food events happening,EVENT
directions to disneyland witout any toll roads.,ROUTE
"6438 Basile Rowe, East Syracuse NY 13057",ADDRESS
name the rivers in arkansas,PLACE
Island for scuba diving,AREA
"141 Washington Ave Extension, Albany NY 12205",ADDRESS
Best Caribbean restaurants near Montreal,PLACE
"1775 Washington St, Hanover MA 2339",ADDRESS
Korean Restaurants,PLACE
what is the area of all the states combined,AREA
Where is the closest indoor waterpark near me that is open this month,PLACE
Where can I get turtle food?,PLACE
Neue Galerie New York,PLACE
fun stuff for kids,EVENT
Happening in Waikiki now,EVENT
Does Roger have the iPhone or Android,PLACE
Ave,NONE
"-122.8083257,45.4962158",GEOLOCATION
Any free parties this weekend in San Francisco,EVENT
adults only events within the next week,EVENT
what is the biggest american city in a state with a river,AREA
Give me the fastest route,ROUTE
what is the area of maryland in square kilometers,AREA
Music lunches,EVENT
Whats the fastest route to my sister's house?,ROUTE
"Feel tired, where to go",NONE
Any hotels left in vegas for new years eve,PLACE
show me friends that are committed to attend the high school reunion,NONE
how many people live in washington dc,NONE
what is the area of seattle,AREA
Shortest route from Putnam to Westchester,ROUTE
Turn off traffic notifications,NONE
theaters,PLACE
"301 Falls Blvd, Quincy MA 2169",ADDRESS
"680 Connecticut Avenue, Norwalk CT 6854",ADDRESS
Take me to the nearest recreational center,ROUTE
Any interesting event happening next weekend,EVENT
 arcades,NONE
what happening in rome this week,EVENT
Nice brunch venues in Atlanta,PLACE
California Automobile Museum,PLACE
check,ROUTE
Greenest neighborhoods,AREA
What was the year,NONE
Any holiday concerts near us tonight,EVENT
Artists Space,PLACE
California State Railroad Museum,PLACE
Can you tell me the directions to get to the Eiffel Tower?,ROUTE
"what is the best route to Tampa, FL from here avoiding toll roads",ROUTE
"Can I get directions to the hotel that's located next to Cash's Faux Pas in Ft. Walton, Florida?",ROUTE
What is the least expensive nightclub to get into,PLACE
casinos with free parking in Henderson,PLACE
what is the capital of california,AREA
Recommend events in New Haven today,EVENT
Shortest route to Des Moines,ROUTE
new restaurants downtown,PLACE
Where can I get oysters from in Delaware?,PLACE
Directions to the Alabama National Fair next to Alabama State University from the park.,ROUTE
any concerts by billy joel coming up,EVENT
When is Kelly's graduation party?,PLACE
what are the largest cities in the states that border the largest state,AREA
open Waze navigation,NONE
anything cool happening in bayside next week,EVENT
restaurants near the blue line,PLACE
Can you show me any of my friends that are following Daryl's band?,NONE
where is a running amusement park on 7th st for today,PLACE
what time do the farms open in Homestead,NONE
"1365 Boston Post Road, Milford CT 6460",ADDRESS
Is their an E-Sports Lounge with a Grill nearby,PLACE
How does Bridget make her colcannon?,PLACE
what is the capital of the state with the largest population,AREA
"42.055,-87.6951",GEOLOCATION
What is the closest nightclub that has dancing,PLACE
beach,PLACE
"""41.94727,-87.64976""",GEOLOCATION
tennis shoes,NONE
Best route to get to the family picnic at Big 10 Waterpark tomorrow?,ROUTE
How many 3 bedroomhomes are for sale in the San Antonio neighborhood of Steubing Ranch today,PLACE
Are there any faster route from Cajueiros Street to Cravos street?,ROUTE
what is the quickest route to work,ROUTE
How many interstates are there in the United States,NONE
Get me the fastest way from home to Dan's house without taking the freeway and avoiding toll.,ROUTE
Whose college graduation  ceremony is the same as mine?,NONE
wineries within 100 miles,PLACE
Are there any museum near me,PLACE
any book signings next weekend near me,EVENT
Toy stores with American Girl Dolls near me,PLACE
"4667  Sunset , Pine Bluff, Arkansas",ADDRESS
I wonder if,NONE
Can you tell me directions from 9th st Cleveland to the Q arena by my house,ROUTE
what are the major rivers in the us,PLACE
"37.495632, 126.88765",GEOLOCATION
What's fun to do right now,EVENT
 area shopping,AREA
what is the area of new mexico,AREA
classical music concerts,EVENT
What color is the school building my sister goes to?,NONE
How many places were visited by mom and dad last 2 years?,PLACE
 restaurant way home,PLACE
Can you alert me when traffic dies down,PLACE
 directions Park son house Neck,ROUTE
musicals,EVENT
any museum near me,PLACE
Are there any sports bars open tonight past 10 pm,PLACE
Where is a close mexican restaurant in Portland,PLACE
"2800 Spring Avn SW, Decatur AL 35603",ADDRESS
"-122.8269138,45.4725539",GEOLOCATION
what is the state with the lowest population,AREA
NATO headquarter,PLACE
how many people live in hawaii,NONE
Does Tina need extra help at The Diner next week?,NONE
where can I take my parents to dinner,PLACE
thai soup,PLACE
Franklin D. Roosevelt Presidential Library and Museum,PLACE
"1717 South College Street, Auburn AL 36830",ADDRESS
fresh seafood direct from the sea,PLACE
Fortnight Institute,PLACE
"-122.8509716,45.5119377",GEOLOCATION
holiday parties,EVENT
What is the fastest route to Volcano Bay,ROUTE
"470 Route 211 East, Middletown NY 10940",ADDRESS
"-122.7936653,45.474879",GEOLOCATION
what is the longest river in florida,PLACE
what is the largest state in usa,AREA
 route Center,ROUTE
What is happening in Boston tomorrow night,EVENT
"-122.8087523,45.4650659",GEOLOCATION
"872 Route 13, Cortlandville NY 13045",ADDRESS
United States Military Academy,PLACE
where is new orleans,AREA
What events in New York next week,EVENT
best sushi places on oahu,PLACE
industrial area,AREA
"nightclubs in Manchester, NH that are open on a Sunday night",PLACE
any upcoming taylor swift concerts,EVENT
graduation,NONE
what rivers are in nevada,PLACE
"42.055,-87.6951",GEOLOCATION
what is the largest state that borders california,AREA
which neighborhood is for clubing,AREA
Places to eat in Beverly Hills tonight,PLACE
Of all of the people that chat with my daughter more than once a month,NONE
 food tastings coming month,EVENT
"1007 Red Farmer Drive, Hueytown AL 35023",ADDRESS
Best route to avoid traffic from orlando to Miami,ROUTE
WHAT EVENT ARE MY COLLEGE FRIENDS GOING TO?,PLACE
what is the longest river in pennsylvania,PLACE
"Piano Bars in Lynchburg, Va",PLACE
Any parties happening this weekend,EVENT
what are the major cities in alabama,AREA
what are the major cities in missouri,AREA
"Directions to Sunrise Nursing Home in Mount Vernon, NY.",ROUTE
best place to eat a gyro near me,PLACE
how many people live in riverside,NONE
When do I need to buy  christmas groceries,NONE
Any concert events Friday in Orlando,EVENT
"890 Odum Road, Gardendale AL 35071",ADDRESS
what are the highest points of states surrounding mississippi,AREA
Buy tickets for ZooLights,NONE
Tell me how to get from my house to the University at Buffalo.,ROUTE
"555 Hubbard Ave-Suite 12, Pittsfield MA 1201",ADDRESS
what is the capital of michigan,AREA
Art district in Chicago,AREA
"52.1322, 4.29517",GEOLOCATION
any concerts from Halsey coming up,EVENT
Bridges to Red Hook Brooklyn,ROUTE
Ice skating rinks in Washington D.C,PLACE
What time does south Lyon high school start classes,NONE
Adults only events,EVENT
I bought a new car,NONE
What time does McDonald's close,NONE
directions to brady's house from work without freeways,ROUTE
what states border the state with the most cities,AREA
"1916 Center Point Rd, Center Point AL 35215",ADDRESS
 Adidas store,PLACE
what are the major cities in states through which the mississippi runs,AREA
"-122.7867757,45.516977",GEOLOCATION
Where is the closest butcher within 10 miles from me,PLACE
what is the biggest city in louisiana,AREA
UCLA Bruins football,PLACE
Any ballets in New Brunswick this weekend,EVENT
"""41.9466,-87.70731""",GEOLOCATION
 weekend,NONE
what is the capital of the alabama state,AREA
"155 Waterford Parkway No, Waterford CT 6385",ADDRESS
what are the populations of states which border texas,NONE
what are the major cities in oklahoma,AREA
park for dogs,PLACE
Directions to my moms.,ROUTE
best place to take the family this weekend,PLACE
what is the largest state that borders the state with the highest population,AREA
directions to the airport on saturday morning without driving on any freeways,ROUTE
any live concerts in falmouth scheduled next weekend,EVENT
Was my cousin Carlton featured in the local news piece on that mass shooting?,NONE
"-122.8418256,45.5134849",GEOLOCATION
Any wine tasting event tonight in Manhattan,EVENT
"-122.7506767,45.5042667",GEOLOCATION
montreal downtown,AREA
Where can I eat Thai food in Burbank tonight,PLACE
Find a restaurant that's open beyond 10 p.m,PLACE
Where is a good place to have a kid's birthday party in Chicago in the summer,PLACE
what is the longest river in mississippi,PLACE
"777 Brockton Avenue, Abington MA 2351",ADDRESS
What's the fastest route to Santa Monica,ROUTE
what is the highest point in the states bordering colorado,AREA
"Mohrenstrasse 37, 10117 Berlin",ADDRESS
"41.8711535,-87.765634",GEOLOCATION
Where is the nearest dentist here in San Antonio that is open till 10pm on a Saturday,PLACE
What DJ available is available near me in 2 months,NONE
how many people live in the united states,NONE
"4952  Polk Street, Tucson, Arizona",ADDRESS
Museums near Atlanta,PLACE
Places to eat sushi in Montana,PLACE
What is the shortest route to Austin,ROUTE
Any movie premier near me,EVENT
dishware shops,PLACE
what is the highest point of the state with the smallest population density,AREA
Music events in Lynchburg this month,EVENT
What's the shortest route to the hospital in Lake Nona,ROUTE
"465 Bridgeport Avenue, Shelton CT 6484",ADDRESS
Any fun events in Tucson this weekend,EVENT
Is Yosemite open for the season and can I camp there?,NONE
what is the longest river in the united states,PLACE
When did I talk to you last,PLACE
 directions Marcos Braunfels,ROUTE
suggestion,EVENT
"-122.8211981,45.4461493",GEOLOCATION
email me a reminder for my event monday at 7am,NONE
what is the highest point in states bordering georgia,AREA
"-122.7730437,45.4784855",GEOLOCATION
What's the fastest route to the drive-in,ROUTE
Any events at the local library for this month,EVENT
parking lots nearby,PLACE
Adult Christmas parties happening this Friday,EVENT
"63 Avenue Jean Jaures 19 Arr. , 19th arr., 75019 Paris, France",ADDRESS
Is there a bakery within 50 miles of me?,PLACE
"35.272481, 128.40654",GEOLOCATION
Nearby bakeries please,PLACE
Directions to Eaton Park Place is Columbus from my house,ROUTE
Japanese fast food restaurants serving sushi on Sundays near me,PLACE
After hours events,EVENT
 type,NONE
Who is going on the High Adventure scout trip with my son?,PLACE
Is Canada's official language Zulu?,NONE
directions from mcallen to cowboy stadium,ROUTE
whats the total distance between moon and earth,PLACE
Tanjong Pagar railway station,PLACE
"Thai restaurants open on Sunday in Greer, SC",PLACE
what is the biggest state,AREA
Folsom Lake,AREA
what is the longest river in texas,PLACE
 charging station Starbucks home,PLACE
 HB in Berlin,PLACE
what is the capital of north dakota,AREA
Can you suggest an event for me to go to,EVENT
directions to Home Depot from my office,ROUTE
 non-starbucks coffee shops,PLACE
Best route to avoid traffic going to the Camden aquarium,ROUTE
what is the shortest river in iowa,PLACE
Chinese restaurants,PLACE
"-122.851328,45.4952707",GEOLOCATION
When is Suzanne's next Weavelife weaving show at Liberty Station?,PLACE
Brooklyn Museum of Art,PLACE
Which restaurants are open on Christmas day in Honolulu,PLACE
best bars in hotels in new york,PLACE
directions to dog store,ROUTE
19110 south Wentworth Avenue,NONE
shops,PLACE
Bars on Oahu,PLACE
 Route Walmart,ROUTE
Who went to Susan's birthday party last week?,NONE
How many of my friends have been to Los Angeles?,PLACE
Restaurants near me,PLACE
can you tell me the fastest way to get to taylors parents house from work avoiding toll roads,ROUTE
Times the clubs open in San Jose tonight,PLACE
baking places,EVENT
Calls,NONE
 41.588 -87.40287,GEOLOCATION
Where should I go tonight if I want good food and music,PLACE
Show me how to put air in the tire?,PLACE
where is mount whitney located,AREA
Best nightclub in Miami that's open now,PLACE
Best way to avoid traffic in Maitland,ROUTE
Museum of the City of New York,PLACE
"-122.8036029,45.4880223",GEOLOCATION
"220 Salem Turnpike, Norwich CT 6360",ADDRESS
"700 Oak Street, Brockton MA 2301",ADDRESS
 comedy shows happening tonight,EVENT
can you get me directions for going to Arizona now.,ROUTE
Route me to work,ROUTE
Where to eat in Hollywood tonight,PLACE
what are the thursday specials at the localdenny's,PLACE
Who else of my friends is interested in going to the event?,NONE
"540 West Bypass, Andalusia AL 36420",ADDRESS
Do you have a list of events happening near me with spots still available,PLACE
Give me directions to Guitar Center.,ROUTE
apple store,PLACE
What is the best way to get to the art festival by bicycle tonight?,ROUTE
Activities in Miami tonight,EVENT
What holiday activities are going on this weekend,EVENT
"-122.7999865,45.4932684",GEOLOCATION
how many people live in houston,NONE
"35.544603, 128.49233",GEOLOCATION
"-122.7629705,45.484799",GEOLOCATION
"101 Sanford Farm Shpg Center, Amsterdam NY 12010",ADDRESS
what are the cities of the state with the highest point,AREA
popular music bar in Nashville,PLACE
"-122.786598,45.5165294",GEOLOCATION
 home route from office,ROUTE
night club closing times in Miami,PLACE
United States of America,AREA
Any free Xmas events I can go to this weekend,EVENT
any concerts by Bon Jovi near me,EVENT
"750 Academy Drive, Bessemer AL 35022",ADDRESS
what is the capital of maine,AREA
What is the closest theater to me,PLACE
"What is the fastest route to Seattle, Washington from my home?",ROUTE
top golf Detroit,PLACE
what is the highest point in the country,AREA
Can you give me directions avoiding the highway,ROUTE
How many people are coming to the family reunion this summer?,NONE
what is the highest point in texas,AREA
directions from mcallen to universal studio orlando,ROUTE
what is the clearest road on the way to work,ROUTE
Free Christmas concerts in Waikiki next week,EVENT
TMJ Arts Collective,PLACE
"16077 Highway 280, Chelsea AL 35043",ADDRESS
Reservation,NONE
where is Statue of Liberty National Monument,PLACE
Directions to Georgia from Atlanta,ROUTE
What day is the shortest day of year,NONE
"830 Curran Memorial Hwy, North Adams MA 1247",ADDRESS
discounted fish stores in st louis,PLACE
best schools to attend in India's Neighborhood?,PLACE
Viewpoints for airplane,PLACE
Atlanta Cyclorama & Civil War Museum,PLACE
What is your main career goal?,PLACE
Hawaii hotel with private beach,PLACE
who is attending bike night,NONE
route alternative,ROUTE
The model casting call is too far from me,PLACE
Adult night at Explora Children's Museum this month,EVENT
"1706 Military Street South, Hamilton AL 35570",ADDRESS
Is there any bus route to Publix from my location,ROUTE
I need a reservation at 8 pm for a 12 person dinner,NONE
Is there anything to do tomorrow in Cheyenne,EVENT
Any outdoor markets for the holidays,EVENT
"506 State Road, North Dartmouth MA 2747",ADDRESS
Any special events going on around here Saturday,EVENT
New York Transit Museum,PLACE
Where is a good museum to go to in New York Christmas weekend,PLACE
"1818 State Route 3, Fulton NY 13069",ADDRESS
Who posted on the franklin flea market cite?,NONE
email me a reminder for my event monday at 7am,PLACE
"51.4405, 5.4778",GEOLOCATION
what's the fastest route,ROUTE
 795 Lake Westbury 11590,ADDRESS
Any activities at the lake tonight,EVENT
late-night bars Chicago north shore,PLACE
best way to get to work avoiding traffic,ROUTE
what are the major cities in california,AREA
adults only getaway in san juan,EVENT
music bar,NONE
Best way to get to Makalapa at 345pm from Red Hill,ROUTE
vegan restaurants open right now in Manhattan,PLACE
Macy's store hours,NONE
Café for rainy day,PLACE
things to do in manchester in the month of december,EVENT
Where is a good steak house near me,PLACE
Solomon R Guggenheim Museum,PLACE
What is the best rated sushi place near me,PLACE
Family Friendly Branson events,EVENT
Are there outdoor events nearby,EVENT
 helicopter flights,NONE
what are the cities in california,AREA
what is the highest point in colorado,AREA
what are the populations of states through which the mississippi river runs,NONE
"41.9208109,-87.6941382",GEOLOCATION
"-122.8401375,45.5265354",GEOLOCATION
Where are the best hiking areas nearby,AREA
"36 Paramount Drive, Raynham MA 2767",ADDRESS
"42.0312,-87.8112",GEOLOCATION
Where can I ice skate,PLACE
Any R&B concerts this month,EVENT
