Query,Category
"""41.83445,-87.67096""",GEOLOCATION
"""41.83445,-87.67096""",GEOLOCATION
"""41.82997,-87.66556""",GEOLOCATION
"""41.82997,-87.66556""",GEOLOCATION
"""41.8215,-87.66534""",GEOLOCATION
"""41.8215,-87.66534""",GEOLOCATION
"""41.72576,-87.68231""",GEOLOCATION
"""41.72576,-87.68231""",GEOLOCATION
"""41.588,-87.40287""",GEOLOCATION
"""41.54888,-87.40391""",GEOLOCATION
"""41.54289,-87.52488""",GEOLOCATION
"""41.54289,-87.52488""",GEOLOCATION
"""41.4736551,-87.3215155""",GEOLOCATION
 Zurich Film,EVENT
 year,NONE
 winery,NONE
 whats menu vegas,NONE
 whats,NONE
 weekend,NONE
 way traffic River Mall,ROUTE
 way theatre movie,NONE
 way Music festival St. school,ROUTE
 way house taking A1A,ROUTE
 way auto shop class,ROUTE
 way airport,ROUTE
 walking tour Boston,ROUTE
" Vijzelstraat 4, 1017 HK, Amsterdam, Netherlands ",ADDRESS
 Victoria pool party I hosting tomorrow,NONE
 uncles one school graduation,NONE
 type sister having,NONE
 type,NONE
 time train,NONE
 time tomorrow game start,NONE
 time office,NONE
 tasting weekend ohio,EVENT
 tables for four,PLACE
 Sunstar hotel,PLACE
 Street for shopping,EVENT
 Nike store,PLACE
 store of second hand goods,PLACE
 Adidas store,PLACE
 steakhouse York one,NONE
" Spuistraat, 288-292, 1012 VX, Amsterdam, Netherlands ",ADDRESS
 sporting event week please,EVENT
 Ruth Chris Steakhouse Florida,NONE
 routes Valley,ROUTE
 route way,ROUTE
 Route Walmart,ROUTE
 route traffic,ROUTE
 route parking Worth,ROUTE
 Route Kidd using Florida,ROUTE
 route house,ROUTE
 route from home,ROUTE
 route to home,ROUTE
 route distance Rd,ROUTE
 route college avoid traffic,ROUTE
 route Center,ROUTE
 route avoiding tolls,ROUTE
 Route avoiding streets left turns,ROUTE
 route Atlanta,ROUTE
 route amount,ROUTE
 route from high way to city exit,ROUTE
 route from Apple store to city center,ROUTE
 return 2 week vacation,NONE
 thai restaurants,PLACE
 Korean restaurants,PLACE
 restaurant way home,PLACE
 reservation,NONE
 reminder event monday,NONE
 PO Box 803338 Chicago 60680-3338,ADDRESS
 places holiday photos,NONE
 places for shoe store,NONE
 places for seasonal flower,PLACE
 pizza places for young adults,PLACE
 pizza places,PLACE
 pizza places for large family,PLACE
 authentic pizza places,PLACE
 picking activities happening Sunday,EVENT
 path sections strollers,ROUTE
 parties happening tonight,EVENT
 parking street,PLACE
 Park L bike,NONE
 parades month,EVENT
 non-starbucks coffee shops,PLACE
 neighborhood sightseeing,AREA
 neighborhood shopping,AREA
 neighborhood pubcrawling,AREA
 neighborhood pubcrawling,AREA
 neighborhood partying,AREA
 neighborhood,NONE
 neighborhood,AREA
 Nate sister,NONE
 movie theaters,NONE
 monument,NONE
 Looking place night,NONE
 library,ROUTE
 job,NONE
 Jennifer performance dates,NONE
 I directions house 1814 Franklin Pike Lewisburg Tn,ROUTE
 houses week,EVENT
 house heat,NONE
 house of tea,ROUTE
 house,ROUTE
 hours,NONE
 Hotels minute walk,PLACE
 home route from office,ROUTE
 home route from city center,ROUTE
 home route,ROUTE
 HIP HOP month,EVENT
 hiking lake zurich,PLACE
 helicopter flights,NONE
 HB in Berlin,PLACE
 Hay weekend,EVENT
 gun shows county weekend,EVENT
 groups husband belong,NONE
 golf,NONE
 going Adventure scout trip son,NONE
 friends World,NONE
 friends week,NONE
 friends University upload statuses catching flu,NONE
 friends restaurant,NONE
 friends month,NONE
 friends going World,NONE
 friends going event,NONE
 friends following Daryl band,NONE
 friends blues weekend,NONE
 friends,NONE
 food tastings coming month,EVENT
 food festivals happening tomorrow,EVENT
 farmer markets taking place,EVENT
 family venue,NONE
 events tonight,EVENT
 events going,EVENT
 events,EVENT
 events for planting ,EVENT
 event summer,NONE
 event happening weekend,EVENT
 driver licence,NONE
 DJ,NONE
 district walking,AREA
 district,AREA
 distance route house County Courthouse,ROUTE
 Disney,NONE
 directions staying war game weekend,ROUTE
 directions Pensacola using Street,ROUTE
 directions Park son house Neck,ROUTE
 directions Marcos Braunfels,ROUTE
 directions Jazz Festival please,NONE
 directions Canyon,ROUTE
 directions brother house Mom house toll roads,ROUTE
 Directions airport,ROUTE
 Direction avoiding 15,ROUTE
 dinner theaters in the Seattle area,PLACE
 detour Tunnel,ROUTE
 Detour traffic,ROUTE
 degree year,NONE
 day day,NONE
 day by day,NONE
 dance clubs,NONE
 crime,NONE
 continent America,AREA
 contests summer,EVENT
 concerts coming weekend,EVENT
 concerts coming town weekend,EVENT
 comedy shows happening tonight,EVENT
 comedy shows,EVENT
 comedy shows in Picasso theater,EVENT
 comedy shows in London,EVENT
 coffee house,PLACE
 coffe shops,PLACE
 cocktail bars,PLACE
 cocktail bars in NYC,PLACE
 city traffic,NONE
 City garden,AREA
 Christmas,NONE
 Chris Rock concerts coming,EVENT
 child places,NONE
 Check cinema accident 10,ROUTE
 chausseestrasse intersection,AREA
 charging station starbucks way home,PLACE
 charging station starbucks route,PLACE
 charging station Macdonald home,PLACE
 charging station Starbucks home,PLACE
 building landmark,NONE
 brother skating rink 53 two children 18,NONE
 Bridges Hook Brooklyn,ROUTE
 breakfast places,PLACE
 Board brush places,NONE
 blue round yellow pillow,PLACE
 birthday year,NONE
 Birthday text friends birthdays week,NONE
 birthday party week,NONE
 Berlin Miete,AREA
 art weekend,EVENT
 art shows today,EVENT
 area shopping,AREA
 arcades,NONE
 Applebee ,NONE
 amusement weekend,NONE
 address gym,NONE
 9851 Horse Dr. Bronx 10466,ADDRESS
 9643 Queensway London 3UQ,ADDRESS
 86 St. JohnÃ‚ Road London 9PX,ADDRESS
 8595 View Drive Patchogue 11772,ADDRESS
 8402 Lakeview St. Massapequa 11758,ADDRESS
 795 Lake Westbury 11590,ADDRESS
 7490 Street Elmont 11003,ADDRESS
 68 Park Avenue London 1NM,ADDRESS
 563 Union St 2B7,ADDRESS
 54 Road London 0AU,ADDRESS
 53 Walt St. Brooklyn 11238,ADDRESS
 47.316669 5.016670,GEOLOCATION
 47.293228 5.004570,GEOLOCATION
 47.279430 5.106450,GEOLOCATION
 41.588 -87.40287,GEOLOCATION
 35 York Road London 8HK,ADDRESS
 3308 Ash St Vancouver BC V5Z 3E3,ADDRESS
 2485 Broadway 414 Vancouver BC V6K 2E8,ADDRESS
 18 Street London 6JQ,ADDRESS
 122 Walter Hardwick 305 Vancouver BC V5Y 0C9,ADDRESS
 106 588 45th Ave W Vancouver BC V5Z 4S3,ADDRESS
Disneyland in Tokyo,PLACE
Nice beach in Hawaii,PLACE
