Query,Category
"""41.893389,-87.6324851""",GEOLOCATION
"""41.87462,-87.73527""",GEOLOCATION
"""41.83845,-87.64627""",GEOLOCATION
"""41.83445,-87.67096""",GEOLOCATION
"""41.83445,-87.67096""",GEOLOCATION
"""41.82997,-87.66556""",GEOLOCATION
"""41.82997,-87.66556""",GEOLOCATION
"""41.8215,-87.66534""",GEOLOCATION
"""41.8215,-87.66534""",GEOLOCATION
"""41.72576,-87.68231""",GEOLOCATION
"""41.72576,-87.68231""",GEOLOCATION
"""41.588,-87.40287""",GEOLOCATION
"""41.54888,-87.40391""",GEOLOCATION
"""41.54289,-87.52488""",GEOLOCATION
"""41.54289,-87.52488""",GEOLOCATION
"""41.4736551,-87.3215155""",GEOLOCATION
 Zurich Film,EVENT
 year,NONE
 winery,NONE
 whats menu vegas,NONE
 whats,NONE
 weekend,NONE
 way traffic River Mall,ROUTE
 way theatre movie,NONE
 way Music festival St. school,ROUTE
 way house taking A1A,ROUTE
 way auto shop class,ROUTE
 way airport,ROUTE
 walking tour Boston,ROUTE
" Vijzelstraat 4, 1017 HK, Amsterdam, Netherlands ",ADDRESS
 Victoria pool party I hosting tomorrow,NONE
 uncles one school graduation,NONE
 type sister having,NONE
 type,NONE
 time train,NONE
 time tomorrow game start,NONE
 time office,NONE
 tasting weekend ohio,EVENT
 tables for four,PLACE
 Sunstar hotel,PLACE
 Street for shopping,EVENT
 Nike store,PLACE
 store of second hand goods,PLACE
 Adidas store,PLACE
 steakhouse York one,NONE
" Spuistraat, 288-292, 1012 VX, Amsterdam, Netherlands ",ADDRESS
 sporting event week please,EVENT
 Ruth Chris Steakhouse Florida,NONE
 routes Valley,ROUTE
 route way,ROUTE
 Route Walmart,ROUTE
 route traffic,ROUTE
 route parking Worth,ROUTE
 Route Kidd using Florida,ROUTE
 route house,ROUTE
 route from home,ROUTE
 route to home,ROUTE
 route distance Rd,ROUTE
 route college avoid traffic,ROUTE
 route Center,ROUTE
 route avoiding tolls,ROUTE
 Route avoiding streets left turns,ROUTE
 route Atlanta,ROUTE
 route amount,ROUTE
 route from high way to city exit,ROUTE
 route from Apple store to city center,ROUTE
 return 2 week vacation,NONE
 thai restaurants,PLACE
 Korean restaurants,PLACE
 restaurant way home,PLACE
 reservation,NONE
 reminder event monday,NONE
 PO Box 803338 Chicago 60680-3338,ADDRESS
 places holiday photos,NONE
 places for shoe store,NONE
 places for seasonal flower,PLACE
 pizza places for young adults,PLACE
 pizza places,PLACE
 pizza places for large family,PLACE
 authentic pizza places,PLACE
 picking activities happening Sunday,EVENT
 path sections strollers,ROUTE
 parties happening tonight,EVENT
 parking street,PLACE
 Park L bike,NONE
 parades month,EVENT
 non-starbucks coffee shops,PLACE
 neighborhood sightseeing,AREA
 neighborhood shopping,AREA
 neighborhood pubcrawling,AREA
 neighborhood pubcrawling,AREA
 neighborhood partying,AREA
 neighborhood,NONE
 neighborhood,AREA
 Nate sister,NONE
 movie theaters,NONE
 monument,NONE
 Looking place night,NONE
 library,ROUTE
 job,NONE
 Jennifer performance dates,NONE
 I directions house 1814 Franklin Pike Lewisburg Tn,ROUTE
 houses week,EVENT
 house heat,NONE
 house of tea,ROUTE
 house,ROUTE
 hours,NONE
 Hotels minute walk,PLACE
 home route from office,ROUTE
 home route from city center,ROUTE
 home route,ROUTE
 HIP HOP month,EVENT
 hiking lake zurich,PLACE
 helicopter flights,NONE
 HB in Berlin,PLACE
 Hay weekend,EVENT
 gun shows county weekend,EVENT
 groups husband belong,NONE
 golf,NONE
 going Adventure scout trip son,NONE
 friends World,NONE
 friends week,NONE
 friends University upload statuses catching flu,NONE
 friends restaurant,NONE
 friends month,NONE
 friends going World,NONE
 friends going event,NONE
 friends following Daryl band,NONE
 friends blues weekend,NONE
 friends,NONE
 food tastings coming month,EVENT
 food festivals happening tomorrow,EVENT
 farmer markets taking place,EVENT
 family venue,NONE
 events tonight,EVENT
 events going,EVENT
 events,EVENT
 events for planting ,EVENT
 event summer,NONE
 event happening weekend,EVENT
 driver licence,NONE
 DJ,NONE
 district walking,AREA
 district,AREA
 distance route house County Courthouse,ROUTE
 Disney,NONE
 directions staying war game weekend,ROUTE
 directions Pensacola using Street,ROUTE
 directions Park son house Neck,ROUTE
 directions Marcos Braunfels,ROUTE
 directions Jazz Festival please,NONE
 directions Canyon,ROUTE
 directions brother house Mom house toll roads,ROUTE
 Directions airport,ROUTE
 Direction avoiding 15,ROUTE
 dinner theaters in the Seattle area,PLACE
 detour Tunnel,ROUTE
 Detour traffic,ROUTE
 degree year,NONE
 day day,NONE
 day by day,NONE
 dance clubs,NONE
 crime,NONE
 continent America,AREA
 contests summer,EVENT
 concerts coming weekend,EVENT
 concerts coming town weekend,EVENT
 comedy shows happening tonight,EVENT
 comedy shows,EVENT
 comedy shows in Picasso theater,EVENT
 comedy shows in London,EVENT
 coffee house,PLACE
 coffe shops,PLACE
 cocktail bars,PLACE
 cocktail bars in NYC,PLACE
 city traffic,NONE
 City garden,AREA
 Christmas,NONE
 Chris Rock concerts coming,EVENT
 child places,NONE
 Check cinema accident 10,ROUTE
 chausseestrasse intersection,AREA
 charging station starbucks way home,PLACE
 charging station starbucks route,PLACE
 charging station Macdonald home,PLACE
 charging station Starbucks home,PLACE
 building landmark,NONE
 brother skating rink 53 two children 18,NONE
 Bridges Hook Brooklyn,ROUTE
 breakfast places,PLACE
 Board brush places,NONE
 blue round yellow pillow,PLACE
 birthday year,NONE
 Birthday text friends birthdays week,NONE
 birthday party week,NONE
 Berlin Miete,AREA
 art weekend,EVENT
 art shows today,EVENT
 area shopping,AREA
 arcades,NONE
 Applebee ,NONE
 amusement weekend,NONE
 address gym,NONE
 9851 Horse Dr. Bronx 10466,ADDRESS
 9643 Queensway London 3UQ,ADDRESS
 86 St. JohnÃ‚ Road London 9PX,ADDRESS
 8595 View Drive Patchogue 11772,ADDRESS
 8402 Lakeview St. Massapequa 11758,ADDRESS
 795 Lake Westbury 11590,ADDRESS
 7490 Street Elmont 11003,ADDRESS
 68 Park Avenue London 1NM,ADDRESS
 563 Union St 2B7,ADDRESS
 54 Road London 0AU,ADDRESS
 53 Walt St. Brooklyn 11238,ADDRESS
 47.316669 5.016670,GEOLOCATION
 47.293228 5.004570,GEOLOCATION
 47.279430 5.106450,GEOLOCATION
 41.588 -87.40287,GEOLOCATION
 35 York Road London 8HK,ADDRESS
 3308 Ash St Vancouver BC V5Z 3E3,ADDRESS
 2485 Broadway 414 Vancouver BC V6K 2E8,ADDRESS
 18 Street London 6JQ,ADDRESS
 122 Walter Hardwick 305 Vancouver BC V5Y 0C9,ADDRESS
 106 588 45th Ave W Vancouver BC V5Z 4S3,ADDRESS
Disneyland in Tokyo,PLACE
Nice beach in Hawaii,PLACE
Any route without heavy traffic alert from  Joseph's house to the airport,ROUTE
Are there any alternate routes to take to work that avoid road construction,ROUTE
Are there any bus routes between my home and my job?,ROUTE
Are there any faster route from Cajueiros Street to Cravos street?,ROUTE
Are there any public transportation options to get to the Stanford mall for the unveiling of the new Samsung phone event?,ROUTE
Are there any routes to work that usually have light traffic at 7am?,ROUTE
Are there any shortcuts I can take to get from my job to Allison's house by 4 pm?,ROUTE
Are there any suggested detours to  Daytona,ROUTE
Are there back roads I could take to get to hunter ski mountain by 9am?,ROUTE
Are there multiple ways to get to Palm Springs from here?,ROUTE
Are there other routes to Charleston that do not take the interstates that will get me there by 9pm tonight?,ROUTE
best alternative route to miss heavy traffic,ROUTE
best detour to avoid traffic on the way to  the AT & T center from Joyce's house?,ROUTE
best directions to arrive early in Rio de Janeiro,ROUTE
Best route alternative to get to Mike's superbowl party in Hamden if I leave now.,ROUTE
best route from here to Charleston,ROUTE
best route home,ROUTE
Best route to avoid congestion,ROUTE
Best route to avoid traffic,ROUTE
Best route to avoid traffic between Albuquerque and Santa Fe,ROUTE
Best route to avoid traffic from orlando to Miami,ROUTE
Best route to avoid traffic going to the Camden aquarium,ROUTE
best route to avoid Traffic please,ROUTE
Best route to beat the traffic,ROUTE
Best route to get to the family picnic at Big 10 Waterpark tomorrow?,ROUTE
Best route to get to work today,ROUTE
best route to go to the giants game tonight,ROUTE
best route to Niagara falls that avoids tolls,ROUTE
best route to Paramount for the Maine concert tomorrow,ROUTE
Best route to Penfield not taking i90 from Syracuse,ROUTE
Best route to take to get from Lily's As Seen on TV to Beehive at 12 pm.,ROUTE
Best route to take to get to my 2 pm meeting in Bolingbrook,ROUTE
best route to take to wildwood that avoids bridges,ROUTE
best route to work,ROUTE
Best route to work to avoid heavy traffic,ROUTE
Best way to avoid traffic in Maitland,ROUTE
Best way to avoid travelling on 32nd street,ROUTE
Best way to get to Makalapa at 345pm from Red Hill,ROUTE
Best way to get to Ohare airport?,ROUTE
best way to get to walmart at 7?,ROUTE
best way to get to work avoiding traffic,ROUTE
best way to reach work today,ROUTE
Bridges to Red Hook Brooklyn,ROUTE
Can I get directions to the drive in theater in Lakeland,ROUTE
"Can I get directions to the hotel that's located next to Cash's Faux Pas in Ft. Walton, Florida?",ROUTE
Can I get directions to the law firm on 25th in Salem where I met last Thursday?,ROUTE
"Can i get directions to the outlet mall in Carlsbad, ca",ROUTE
"Can I get driving directions to Time's Square in New York, without taking any major interstates?",ROUTE
Can I get from 12th st nw to 44th ave s. if I take Washington St?,ROUTE
Can I get from 4th Ave & Main St Las Vegas to the Bulls Game without detours?,ROUTE
Can I get from here to Boise sometime this afternoon?,ROUTE
Can I get from here to Downtown Dallas using a detour?,ROUTE
Can I get home from the REM show via Rt. 78?,ROUTE
can I get the directions to Pico Ski Resort?,ROUTE
Can we get to North Park by 9th Street by bike?,ROUTE
"Can you bring up directions from Duluth to Minneapolis, avoiding construction?",ROUTE
Can you find me a route to my doctor's office that avoids toll roads?,ROUTE
Can you find me a way to get from here to Orlando that takes me to some other interesting stops?,ROUTE
can you find me the shortest route home,ROUTE
Can you get me a route to the history museum that doesn't require tolls?,ROUTE
can you get me directions for going to Arizona now.,ROUTE
Can you get me directions to Louisa's apartment from work avoiding the freeways?,ROUTE
Can you get me directions to my mom's house from Woodfield Mall?,ROUTE
Can you get me directions to the Katy Perry concert from Ankeny,ROUTE
Can you give me a route that has little traffic,ROUTE
Can you give me a route to avoid traffic,ROUTE
Can you give me directions avoiding the highway,ROUTE
Can you give me directions from here to the Renaissance Faire in Concord?,ROUTE
"Can you give me directions from HSPVA in Houston, to Hobby Airport?",ROUTE
Can you give me directions from Philadelphia to DC avoiding tolls?,ROUTE
Can you give me directions from Rocky Top Medical Center to the nearest dinner show on the Parkway in Pigeon Forge?,ROUTE
Can you give me directions to get around this traffic,ROUTE
Can you give me directions to Louis Liquors in New brunswick from my work?,ROUTE
Can you give me directions to Roosevelt Park that is near the hospital from my work?,ROUTE
Can you give me directions to the Dallas Courthouse on Commerce Street from my house with no toll roads?,ROUTE
Can you give me directions to the east end without hitting the expressway traffic,ROUTE
Can you give me directions to the high school near Elm Park in Frisco?,ROUTE
Can you give me directions to the Huntington Dog Beach via the I-5?,ROUTE
Can you give me directions to the mall from my office,ROUTE
Can you give me directions to the nearest TJ Maxx from my work if I want to avoid the freeway,ROUTE
Can you give me directions to Walt Disney World avoiding toll roads.,ROUTE
can you give me driving directions from Sea World in Orlando,ROUTE
Can you give me driving directions to the airport avoiding highways,ROUTE
Can you give me the directions to Eric's Place on Hand Avenue across from North Baldwin Utilities.,ROUTE
Can you give me the fastest route to get to Colorado Springs that avoid going through any construction zones?,ROUTE
Can you help me figure out how to get to Sarahs in Atlantic City by dinner time,ROUTE
Can you help me get back home from Lauren's house please?,ROUTE
can you show me backroads from here to downtown dallas,ROUTE
Can you tell me directions from 9th st Cleveland to the Q arena by my house,ROUTE
"Can you tell me directions from home to the airport without traffic, arriving at 4pm",ROUTE
Can you tell me directions to the Bears game from Wheaton?,ROUTE
Can you tell me directions to the Wal Mart on 103rd Street.,ROUTE
Can you tell me directions to Walmart from my aunt's house in Pflugerville,ROUTE
Can you tell me how to get Boston Aquarium from the Jamaica Pond?,ROUTE
Can you tell me how to get to Chaco Canyon in New Mexico by taking the freeway,ROUTE
Can you tell me how to get to Gaylord palms by Disney Springs and the fastest route to get there,ROUTE
Can you tell me how to get to LaSallate Shrine from Myrtle Street in Rockland,ROUTE
Can you tell me how to get to Sesame Street from Elm Street,ROUTE
Can you tell me how to get to the baseball game at 4pm?,ROUTE
can you tell me how to get to the mumford and sons concert in pittsburgh from my current location,ROUTE
"Can you tell me how to get to the new Home Goods near Marshalls in Hingham, Mass?",ROUTE
can you tell me how to get to the sears tower from work avoiding contruction,ROUTE
can you tell me how to get to Universal city walk without using I4 from my house,ROUTE
Can you tell me the directions from the Maryland Zoo to DC please?,ROUTE
can you tell me the directions from Universal Florida to Disney World,ROUTE
Can you tell me the directions to Catas from RBA?,ROUTE
Can you tell me the directions to get from Canton to Cambridge that is easy to follow,ROUTE
Can you tell me the directions to get to the Eiffel Tower?,ROUTE
Can you tell me the driving directions from home to the mall in Douglasville.,ROUTE
can you tell me the fastest way to get to my doctors appointment today if I left from work,ROUTE
can you tell me the fastest way to get to taylors parents house from work avoiding toll roads,ROUTE
Can you tell me the fastest way to Pearl City when I leave 3pm on a Tuesday,ROUTE
Can you tell me the quickest route to get from work to the Coronado Mall by avoiding traffic,ROUTE
can you tell me the quickest way to get to forest lake from cambridge,ROUTE
Can you tell me the quickest way to get to Ulta Beauty if I leave in 30 minutes?,ROUTE
Can you tell me the route with the least traffic delays between here and Shoppingtown mall if I leave right now?,ROUTE
center from my home,ROUTE
Direct me to Bob's house,ROUTE
Direction from Vegas to LA avoiding the 15,ROUTE
direction to burning man,ROUTE
direction to girlfriends hotel,ROUTE
directions back to the office,ROUTE
"Directions from CC to Aquatots, avoiding Grand River.",ROUTE
Directions from Chicago to New York City.,ROUTE
"Directions from home to the airport without traffic please, arriving at 4pm",ROUTE
Directions from Home to the Honolulu Zoo.,ROUTE
"Directions from home to the Orlando airport without traffic, I need to arrive at 4pm",ROUTE
Directions from home to work,ROUTE
directions from mcallen to  taylor,ROUTE
directions from mcallen to arlington,ROUTE
directions from mcallen to austin,ROUTE
directions from mcallen to cowboy stadium,ROUTE
directions from mcallen to dallas,ROUTE
directions from mcallen to galvestion,ROUTE
directions from mcallen to pensacola,ROUTE
directions from mcallen to port aransas,ROUTE
directions from mcallen to san antonio,ROUTE
directions from mcallen to south padre island,ROUTE
directions from mcallen to the alamo,ROUTE
directions from mcallen to universal studio orlando,ROUTE
directions from mcallen to waco,ROUTE
Directions from my house to the nearest gas station,ROUTE
directions from Washington DC to Boston,ROUTE
Directions home,ROUTE
Directions home from Storybook Land in NJ.,ROUTE
"Directions the Detroit Zoo from my house, leaving at 8:30am.",ROUTE
Directions to 20 Warren Street in Norwood from the Walpole mall,ROUTE
Directions to Ala Moana,ROUTE
Directions to arrive by 9 am at the city hall in West Hollywod leaving from home,ROUTE
Directions to avoid the construction on the Palisades Parkway.,ROUTE
Directions to Blue Origin in Kent,ROUTE
directions to brady's house from work without freeways,ROUTE
Directions to Cost Co in Kent,ROUTE
directions to dad's house,ROUTE
directions to denver with least amount of traffic,ROUTE
Directions to Dick's Sporting Goods in Moore avoiding I-35,ROUTE
Directions to Disneyland,ROUTE
directions to disneyland witout any toll roads.,ROUTE
directions to dog store,ROUTE
Directions to drive from home to Atlanta,ROUTE
"Directions to Eastern Market from my house, avoiding construction delays.",ROUTE
Directions to Eastern Market.,ROUTE
Directions to Eaton Park Place is Columbus from my house,ROUTE
"Directions to Flyers Skate Zone in Atlantic City from Somers Point, NJ.",ROUTE
Directions to gas station near me,ROUTE
Directions to Georgia from Atlanta,ROUTE
Directions to get home,ROUTE
Directions to Hobby Lobby in North Charleston avoiding construction,ROUTE
Directions to home,ROUTE
directions to Home Depot from my office,ROUTE
Directions to home with a stop at my credit union on the way,ROUTE
Directions to Hospital of the University of Pennsylvania in Philadelphia from home.,ROUTE
directions to houston avoiding flooded streets from Mckinney,ROUTE
Directions to Kalahari Water Park in the Poconos from home.,ROUTE
directions to kankakee from oswego,ROUTE
directions to kate's school from the grocery store,ROUTE
"Directions to Laurel Manor, from work, avoiding I96.",ROUTE
Directions to LAX Post Office,ROUTE
directions to library if I take 126,ROUTE
Directions to moms.,ROUTE
directions to monalisas church via i-545 from bell county,ROUTE
Directions to my densist,ROUTE
Directions to my house.,ROUTE
Directions to my mom's house.,ROUTE
Directions to my moms.,ROUTE
Directions to my office,ROUTE
Directions to Nebraska tomorrow,ROUTE
Directions to new york,ROUTE
directions to paramount hotel avoiding flooding from lizzys market,ROUTE
"Directions to Petco closest to me, where I do not have to go on John Young Parkway",ROUTE
Directions to PNC Arts Center,ROUTE
Directions to Publix.,ROUTE
directions to the airport on saturday morning without driving on any freeways,ROUTE
Directions to the Alabama National Fair next to Alabama State University from the park.,ROUTE
"Directions to the Beaumont library, please.",ROUTE
Directions to the children's hospital in downtown Jacksonville from Saint Augustine Shores.,ROUTE
Directions to the circus near my brothers home.,ROUTE
Directions to the Civic Center in Norwood from Bahama Drive in Norwood,ROUTE
Directions to the closest parking lot to the Javitz center from my house,ROUTE
directions to the convention from Christina's house leaving at 5p,ROUTE
Directions to the courthouse from my grandmas house,ROUTE
Directions to the eye doctor near the pet shop.,ROUTE
Directions to the Fort in Hull from The Nantasket Hotel,ROUTE
Directions to the hospital,ROUTE
directions to the jazz fest,ROUTE
Directions to the mall,ROUTE
Directions to the National Peanut Festival.,ROUTE
Directions to the nearest Discount Tire,ROUTE
directions to the nearest hospital that is less then 10 minutes away avoiding all traffic and construction,ROUTE
"Directions to the nearest mall, from work.",ROUTE
acoustic performances in Henderson,EVENT
acrobat shows in OC this week,EVENT
Acting workshops in Cambridge for January,EVENT
Activities at the library today,EVENT
Activities for tourists in San Diego CA,EVENT
Activities in Miami tonight,EVENT
Activities that are happening near me this month,EVENT
activity for kids,EVENT
Adult Christmas parties happening this Friday,EVENT
Adult entertainment in Pensacola this weekend,EVENT
Adult events for night life in downtown,EVENT
Adult halloween parties happening near Edison NJ in October,EVENT
adult holiday activities,EVENT
Adult night at Explora Children's Museum this month,EVENT
adult nightlife in concord friday,EVENT
Adult only Christmas events,EVENT
Adult only events in Atlanta this weekend,EVENT
adult only events in hollywood this month,EVENT
adult only events starting after 6,EVENT
Adult things to do this weekend on Oahu,EVENT
Adults only events,EVENT
Adults only events on Friday,EVENT
adults only events within the next week,EVENT
adults only getaway in san juan,EVENT
Adventurous things happening in New York City,EVENT
After hours events,EVENT
Air shows next year near me,EVENT
Albuquerque Balloon Fiesta Kids Free Admission day and info,EVENT
Alicia Keys concert in San Francisco tomorrow,EVENT
all concerts for verizon ampitheatre in november,EVENT
all music concerts in LA for next month,EVENT
All the music festivals in the United States for summer 2018,EVENT
Any activities for kids to do here,EVENT
Any activities to do tomorrow,EVENT
any alternative bands playing in Atlanta this weekend,EVENT
any anime concerts soon,EVENT
Any annual events in San Francisco tonight,EVENT
any art events,EVENT
Any art events going on in the next week,EVENT
Any art festival in LA this month,EVENT
Any art festivals,EVENT
any art openings near me this week,EVENT
any art shows this month,EVENT
any art shows this weekend,EVENT
any art shows to attend in LA this weekend,EVENT
any art shows today,EVENT
Any arts and crafts events this weekend,EVENT
Any aviation events coming up,EVENT
Any bake sale fundraisers happening this month,EVENT
Any ballets in New Brunswick this weekend,EVENT
Any ballets playing Thursday,EVENT
any bands playing near me this week,EVENT
any basketball games this weekend,EVENT
ANY BEACH PARTIES IN TWO WEEKS IN DESTIN,EVENT
Any beer and meat events near me this weekend,EVENT
any beer fest around,EVENT
any beer festivals this weekend,EVENT
Any Beyonce concerts this month,EVENT
any big events at local bars in Salem happening next week,EVENT
any boat shows this weekend,EVENT
Any book clubs in the area,EVENT
any book signings next weekend near me,EVENT
Any Boy Scout camping here,EVENT
Any Breakfast with Santa events in Naperville this weekend,EVENT
Any Bruno Mars Concerts near by,EVENT
Any Bruno Mars concerts this month near me,EVENT
Any caroling events in New Brunswick tonight,EVENT
Any caroling performances in Portland happening,EVENT
any cat shows in Atlanta soon,EVENT
Any celebrations in downtown Savannah this week end,EVENT
Any chance Nine Inch Nails released any tour dates on the east coast for the next 6 months,EVENT
Any chef events happening in Portland,EVENT
Any children's parties this weekend in the park,EVENT
Any Chris Rock concerts coming up near me,EVENT
Any Christian singles events in Brooklyn,EVENT
any circuses in atlanta this week,EVENT
any classical music concerts,EVENT
Any classical performances  this weekend,EVENT
Any cocktail party around here,EVENT
Any comedy events going on in Phoenix,EVENT
Any comedy shows happening this weekend,EVENT
any comedy shows this weekend,EVENT
any comedy shows this weekend in nyc,EVENT
any comedy shows to attended on thursday,EVENT
any comedy shows to go to on monday,EVENT
any comedy shows to go to on sunday in nyc,EVENT
any comedy shows today in nyc,EVENT
any comedy shows tomorrow in nyc,EVENT
Any comedy shows tonight in San Diego,EVENT
any community garage sales in fort worth this weekend,EVENT
Any concert events Friday in Orlando,EVENT
any concert presales going on at the BJCC,EVENT
any concerts,EVENT
Any concerts at 9PM on Friday near San Francisco,EVENT
Any concerts at NJPAC tonight,EVENT
Any concerts available in Long Island this week,EVENT
Any concerts by Beyonce,EVENT
any concerts by billy joel coming up,EVENT
Any concerts by Lady Gaga next month,EVENT
any concerts by melanie martinez soon,EVENT
any concerts by Usher this week,EVENT
Any concerts featuring classical music near me,EVENT
any concerts from gwen steffani soon,EVENT
any concerts from Halsey coming up,EVENT
Any drinking events happening in Seattle,EVENT
Any event for this weekend,EVENT
any event in philadelphia today,EVENT
any event near to me this weekend,EVENT
Any events at Johnson PArk this weekend,EVENT
Any events at the college next week,EVENT
Any events at the local library for this month,EVENT
Any events at The Point,EVENT
Any free Xmas events I can go to this weekend,EVENT
Any fun Arizona events this weekend,EVENT
any fun bands playing in grafton tonight,EVENT
any fun christmas parties tonight,EVENT
any fun events at nags head for new year's eve,EVENT
any fun events for the holidays,EVENT
Any fun events in Seattle this weekend,EVENT
Any fun events in Tucson this weekend,EVENT
Any fun events this weekend,EVENT
Any fun events to go to this weekend,EVENT
Any fun festivals going on this week,EVENT
Any fun festivals this weekend in Portland,EVENT
Any fun kid events this week,EVENT
any hiking excursions in Palm Springs this weekend,EVENT
Any HIP HOP concerts this month,EVENT
Any holiday concerts near us tonight,EVENT
Any holiday cookie baking places in New York for next week,EVENT
Any holiday events downtown tonight,EVENT
Any Holiday events for children,EVENT
Any interesting event happening next weekend,EVENT
any interesting events in DC tonight,EVENT
any interesting for Sunday,EVENT
any interesting parties in Jackson this december,EVENT
Any Jazz concerts this month,EVENT
any jazz festivals in Olean next week,EVENT
Any live bands playing tonight,EVENT
any live comedy shows in kona this weekend,EVENT
Any live concerts in DC happening now,EVENT
any live concerts in falmouth scheduled next weekend,EVENT
Any live jazz around here,EVENT
any live music in hilo,EVENT
Any live music nearby,EVENT
Any live music next Tuesday,EVENT
Any live music performances near me tonight,EVENT
any live music show in St Paul this night,EVENT
Any live music tonight,EVENT
Any parties happening this weekend,EVENT
Any parties happening tonight in Williamsburg,EVENT
any parties i should check out,EVENT
Anything cool happening at Disney this month,EVENT
anything cool happening in bayside next week,EVENT
Anything cool happening in Brooklyn tonight,EVENT
Anything cool happening in Concord today,EVENT
Anything cool happening in my neck of the woods,EVENT
Anything cool happening in Springfield tomorrow,EVENT
anything cool happening in texas,EVENT
Anything cool happening next week,EVENT
Anything cool happening next weekend in Chicago,EVENT
Anything cool happening this month,EVENT
Anything cool happening this weekend,EVENT
anything cool happening tomorrow,EVENT
Anything cool happening tonight,EVENT
anything happening tomorrow,EVENT
Anything happening tonight in Greensboro,EVENT
"-122.8099943,45.4780504",GEOLOCATION
"-122.8347023,45.4370113",GEOLOCATION
"-122.7867757,45.516977",GEOLOCATION
"-122.8208438,45.4860294",GEOLOCATION
"-122.7823458,45.5076398",GEOLOCATION
"-122.8150737,45.4743203",GEOLOCATION
"-122.7811133,45.4573829",GEOLOCATION
"-122.7936653,45.474879",GEOLOCATION
"-122.851328,45.4952707",GEOLOCATION
"-122.8018344,45.4624696",GEOLOCATION
"-122.8454873,45.5130445",GEOLOCATION
"-122.8052512,45.4659422",GEOLOCATION
"-122.8330084,45.490927",GEOLOCATION
"-122.8083257,45.4962158",GEOLOCATION
"-122.8670191,45.5243823",GEOLOCATION
"-122.7989513,45.4889965",GEOLOCATION
"-122.8089255,45.4537623",GEOLOCATION
"-122.7721256,45.4795578",GEOLOCATION
"-122.8118643,45.4696108",GEOLOCATION
"-122.8037883,45.4488177",GEOLOCATION
"-122.7993779,45.4465469",GEOLOCATION
"-122.8622524,45.5229619",GEOLOCATION
"-122.8071973,45.4831202",GEOLOCATION
"-122.7626418,45.4918895",GEOLOCATION
"-122.7862896,45.457663",GEOLOCATION
"-122.8062412,45.4982519",GEOLOCATION
"-122.8033546,45.4790762",GEOLOCATION
"-122.8361149,45.4511539",GEOLOCATION
"-122.8067328,45.4870404",GEOLOCATION
"-122.8236785,45.4565038",GEOLOCATION
"-122.8211981,45.4461493",GEOLOCATION
"-122.7943915,45.4802977",GEOLOCATION
"-122.7999865,45.4932684",GEOLOCATION
"-122.8116647,45.476687",GEOLOCATION
"-122.8010014,45.4852902",GEOLOCATION
"-122.8269138,45.4725539",GEOLOCATION
"-122.8356199,45.4474246",GEOLOCATION
"-122.8236797,45.4341327",GEOLOCATION
"-122.8268704,45.4855072",GEOLOCATION
"-122.7800795,45.4792484",GEOLOCATION
"-122.8462727,45.4373564",GEOLOCATION
"-122.8228287,45.4494259",GEOLOCATION
"-122.8077471,45.4901447",GEOLOCATION
"-122.8411446,45.4935364",GEOLOCATION
"-122.8319833,45.43297",GEOLOCATION
"-122.8415265,45.4354978",GEOLOCATION
"-122.8333364,45.4649265",GEOLOCATION
"-122.8167861,45.445727",GEOLOCATION
"-122.8076262,45.4810182",GEOLOCATION
"-122.821744,45.5049105",GEOLOCATION
"-122.7974803,45.4743953",GEOLOCATION
"-122.8148218,45.4610697",GEOLOCATION
"-122.8317483,45.448319",GEOLOCATION
"-122.8407108,45.5272049",GEOLOCATION
"-122.8087523,45.4650659",GEOLOCATION
"-122.8478259,45.5212052",GEOLOCATION
"-122.8013566,45.4835539",GEOLOCATION
"-122.819215,45.4825188",GEOLOCATION
"-122.8011322,45.4849565",GEOLOCATION
"-122.8434173,45.5203665",GEOLOCATION
"-122.8482279,45.5249515",GEOLOCATION
"-122.8412891,45.4391751",GEOLOCATION
"-122.8036029,45.4880223",GEOLOCATION
"-122.7918928,45.4616968",GEOLOCATION
"-122.8425611,45.4666239",GEOLOCATION
"-122.780081,45.4787975",GEOLOCATION
"-122.8300099,45.5161315",GEOLOCATION
"-122.8411449,45.5110661",GEOLOCATION
"-122.7506767,45.5042667",GEOLOCATION
"-122.8321159,45.4967275",GEOLOCATION
"-122.7993633,45.4826975",GEOLOCATION
"-122.8371401,45.4346624",GEOLOCATION
"-122.7730437,45.4784855",GEOLOCATION
"-122.786598,45.5165294",GEOLOCATION
"-122.8423296,45.5207874",GEOLOCATION
"-122.7629705,45.484799",GEOLOCATION
"-122.8103763,45.46698",GEOLOCATION
"-122.776655,45.4872434",GEOLOCATION
"-122.8401375,45.5265354",GEOLOCATION
"-122.8181143,45.4497353",GEOLOCATION
"-122.8437297,45.4284278",GEOLOCATION
"-122.8550567,45.5305932",GEOLOCATION
"-122.8451344,45.5100848",GEOLOCATION
"-122.8314545,45.5156204",GEOLOCATION
"-122.8418256,45.5134849",GEOLOCATION
"-122.8142847,45.4902231",GEOLOCATION
"-122.7989428,45.4607193",GEOLOCATION
"-122.8509716,45.5119377",GEOLOCATION
"-122.827472,45.4368502",GEOLOCATION
"-122.7624444,45.484507",GEOLOCATION
"-122.7990766,45.4615745",GEOLOCATION
"-122.8188293,45.4827075",GEOLOCATION
"-122.8490634,45.5154457",GEOLOCATION
